Title,Year,Age,rotten_tomatoes,Netflix,Hulu,prime_video,disneyplus,Type
The Irishman,2019,18+,0.98,1,0,0,0,0
Dangal,2016,7+,0.97,1,0,0,0,0
David Attenborough: A Life on Our Planet,2020,7+,0.95,1,0,0,0,0
Lagaan: Once Upon a Time in India,2001,7+,0.94,1,0,0,0,0
Roma,2018,18+,0.94,1,0,0,0,0
To All the Boys I've Loved Before,2018,13+,0.94,1,0,0,0,0
The Social Dilemma,2020,13+,0.93,1,0,0,0,0
Okja,2017,13+,0.92,1,0,0,0,0
The Ballad of Buster Scruggs,2018,16+,0.92,1,0,0,0,0
The Trial of the Chicago 7,2020,18+,0.92,1,0,0,0,0
Article 15,2019,18+,0.92,1,0,0,0,0
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,0.92,1,0,0,0,0
Dolemite Is My Name,2019,18+,0.92,1,0,0,0,0
Mudbound,2017,18+,0.91,1,0,0,0,0
Swades,2004,all,0.91,1,0,0,0,0
Fyre,2019,18+,0.91,1,0,0,0,0
Miss Americana,2020,18+,0.9,1,0,0,0,0
Virunga,2014,16+,0.9,1,0,0,0,0
Black Friday,2004,18+,0.9,1,0,0,0,0
Talvar,2015,7+,0.9,1,0,0,0,0
The King,2019,18+,0.9,1,0,0,0,0
John Mulaney: Kid Gorgeous at Radio City,2018,18+,0.89,1,0,0,0,0
I Am Mother,2019,13+,0.89,1,0,0,0,0
Tell Me Who I Am,2019,18+,0.89,1,0,0,0,0
The Departed,2006,18+,0.89,1,0,0,0,0
Winter on Fire: Ukraine's Fight for Freedom,2015,16+,0.89,1,0,0,0,0
Terminator 2: Judgment Day,1991,18+,0.89,1,0,0,0,0
I Lost My Body,2019,18+,0.89,1,0,0,0,0
Django Unchained,2012,18+,0.89,1,0,0,0,0
The Half of It,2020,13+,0.89,1,0,0,0,0
The Boy Who Harnessed the Wind,2019,7+,0.89,1,0,0,0,0
The Devil All the Time,2020,18+,0.89,1,0,0,0,0
The Fundamentals of Caring,2016,18+,0.89,1,0,0,0,0
Pieces of a Woman,2020,18+,0.88,1,0,0,0,0
Gerald's Game,2017,18+,0.88,1,0,0,0,0
Shutter Island,2010,18+,0.88,1,0,0,0,0
Always Be My Maybe,2019,13+,0.88,1,0,0,0,0
The Intouchables,2011,7+,0.88,1,0,0,0,0
Bill Burr: Paper Tiger,2019,18+,0.87,1,0,0,0,0
Kiss the Ground,2020,18+,0.87,1,0,0,0,0
Crip Camp: A Disability Revolution,2020,18+,0.87,1,0,0,0,0
Extraction,2020,18+,0.87,1,0,0,0,0
No Direction Home: Bob Dylan,2005,all,0.87,1,0,0,0,0
Kabhi Khushi Kabhie Gham,2001,all,0.87,1,0,0,0,0
His House,2020,16+,0.87,1,0,0,0,0
Super Deluxe,2019,18+,0.87,1,0,0,0,0
The Guernsey Literary & Potato Peel Pie Society,2018,16+,0.87,1,0,0,0,0
A Secret Love,2020,18+,0.87,1,0,0,0,0
The Night Comes for Us,2018,18+,0.87,1,0,0,0,0
The Big Lebowski,1998,18+,0.87,1,0,0,0,0
Pad Man,2018,13+,0.87,1,0,0,0,0
American Factory,2019,13+,0.86,1,0,0,0,0
Bird Box,2018,18+,0.86,1,0,0,0,0
The Pianist,2002,18+,0.86,1,0,0,0,0
3 Idiots,2009,13+,0.86,1,0,0,0,0
A Shaun the Sheep Movie: Farmageddon,2019,all,0.86,1,0,0,0,0
A Clockwork Orange,1971,18+,0.86,1,0,0,0,0
What Happened to Monday,2017,18+,0.86,1,0,0,0,0
Anthony Jeselnik: Thoughts and Prayers,2015,18+,0.86,1,0,0,0,0
The White Helmets,2016,16+,0.86,1,0,0,0,0
Invader ZIM: Enter the Florpus,2019,7+,0.86,1,0,0,0,0
Happy as Lazzaro,2018,13+,0.85,1,0,0,0,0
Kal Ho Naa Ho,2003,all,0.85,1,0,0,0,0
Pan's Labyrinth,2006,18+,0.85,1,0,0,0,0
Team Foxcatcher,2016,16+,0.85,1,0,0,0,0
The Meyerowitz Stories (New and Selected),2017,18+,0.85,1,0,0,0,0
Casino Royale,2006,13+,0.85,1,0,0,0,0
The Hateful Eight,2015,18+,0.85,1,0,0,0,0
Rush,2013,18+,0.84,1,0,0,0,0
Zombieland,2009,18+,0.84,1,0,0,0,0
Eurovision Song Contest: The Story of Fire Saga,2020,13+,0.84,1,0,0,0,0
Kapoor & Sons,2016,13+,0.84,1,0,0,0,0
The Perfection,2018,18+,0.84,1,0,0,0,0
Dave Chappelle: Sticks & Stones,2019,18+,0.84,1,0,0,0,0
There Will Be Blood,2007,18+,0.84,1,0,0,0,0
Million Dollar Baby,2004,13+,0.84,1,0,0,0,0
The Social Network,2010,13+,0.84,1,1,0,0,0
The Christmas Chronicles,2018,7+,0.84,1,0,0,0,0
Monty Python and the Holy Grail,1975,7+,0.84,1,0,0,0,0
The Pixar Story,2007,all,0.84,1,0,0,0,0
Ma Rainey's Black Bottom,2020,18+,0.84,1,0,0,0,0
Calibre,2018,18+,0.84,1,0,0,0,0
Silver Linings Playbook,2012,18+,0.84,1,0,0,0,0
Over the Moon,2020,7+,0.84,1,0,0,0,0
Nightcrawler,2014,18+,0.84,1,0,0,0,0
1922,2017,18+,0.84,1,0,0,0,0
Paddleton,2019,18+,0.84,1,0,0,0,0
Rain Man,1988,18+,0.83,1,0,0,0,0
The Ritual,2017,18+,0.83,1,0,0,0,0
The Hater,2020,18+,0.83,1,0,0,0,0
The Edge of Democracy,2019,16+,0.83,1,0,0,0,0
22-Jul,2018,18+,0.83,1,0,0,0,0
Adam Sandler: 100% Fresh,2018,18+,0.83,1,0,0,0,0
Guru,2007,13+,0.83,1,0,0,0,0
A Twelve-Year Night,2018,18+,0.83,1,0,0,0,0
Dumplin',2018,13+,0.83,1,0,0,0,0
The Conjuring,2013,18+,0.83,1,0,0,0,0
Marriage Story,2019,18+,0.83,1,0,0,0,0
My Octopus Teacher,2020,all,0.83,1,0,0,0,0
About Time,2013,13+,0.83,1,0,0,0,0
Hey Arnold! The Jungle Movie,2017,7+,0.83,1,1,0,0,0
Kung Fu Panda,2008,7+,0.83,1,0,0,0,0
Superbad,2007,18+,0.83,1,0,0,0,0
The Invisible Guest,2016,18+,0.83,1,0,0,0,0
Chinatown,1974,18+,0.82,1,0,0,0,0
Mystic River,2003,18+,0.82,1,0,0,0,0
The Theory of Everything,2014,13+,0.82,1,0,0,0,0
The Life Ahead,2020,13+,0.82,1,0,0,0,0
The Terminal,2004,13+,0.82,1,0,1,0,0
Scott Pilgrim vs. the World,2010,13+,0.82,1,0,0,0,0
Being Elmo: A Puppeteer's Journey,2011,7+,0.82,1,0,0,0,0
Life of Brian,1979,18+,0.82,1,0,0,0,0
The Resistance Banker,2018,18+,0.82,1,0,0,0,0
How to Train Your Dragon 2,2014,7+,0.82,1,0,0,0,0
Love Actually,2003,18+,0.82,1,0,0,0,0
Dear Ex,2018,18+,0.82,1,0,0,0,0
Braven,2018,18+,0.82,1,0,0,0,0
Captain Fantastic,2016,18+,0.82,1,0,0,0,0
Veronica,2017,18+,0.81,1,0,0,0,0
Ricky Gervais: Humanity,2018,18+,0.81,1,0,0,0,0
A Whisker Away,2020,7+,0.81,1,0,0,0,0
Lady Bird,2017,18+,0.81,1,0,0,0,0
Road to Perdition,2002,18+,0.81,1,0,0,0,0
Boogie Nights,1997,18+,0.81,1,0,0,0,0
Total Recall,1990,16+,0.81,1,0,0,0,0
Bo Burnham: Inside,2021,18+,0.81,1,0,0,0,0
Snowpiercer,2013,18+,0.81,1,0,0,0,0
The Conjuring 2,2016,18+,0.81,1,0,0,0,0
They'll Love Me When I'm Dead,2018,18+,0.81,1,0,0,0,0
Nocturnal Animals,2016,18+,0.81,1,0,0,0,0
Get Me Roger Stone,2017,16+,0.81,1,0,0,0,0
Hachi: A Dog's Tale,2009,all,0.81,1,0,0,0,0
Dances with Wolves,1990,13+,0.8,1,0,0,0,0
Udta Punjab,2016,18+,0.8,1,0,0,0,0
Maktub,2017,7+,0.8,1,0,0,0,0
Ittefaq,2017,7+,0.8,1,0,0,0,0
Hannah Gadsby: Nanette,2018,18+,0.8,1,0,0,0,0
Ali Wong: Hard Knock Wife,2018,18+,0.8,1,0,0,0,0
Seven Pounds,2008,13+,0.8,1,0,1,0,0
Uncut Gems,2019,18+,0.8,1,0,0,0,0
The Kindergarten Teacher,2018,18+,0.8,1,0,0,0,0
Les Misérables,2012,13+,0.8,1,0,1,0,0
Next Gen,2018,7+,0.8,1,0,0,0,0
Tom Segura: Disgraceful,2018,13+,0.8,1,0,0,0,0
Badla,2019,7+,0.8,1,0,0,0,0
Okko's Inn,2018,7+,0.8,1,0,0,0,0
The Willoughbys,2020,7+,0.8,1,0,0,0,0
Hunt for the Wilderpeople,2016,13+,0.8,1,1,0,0,0
Stardust,2007,13+,0.79,1,0,0,0,0
Wheelman,2017,18+,0.79,1,0,0,0,0
The Artist,2011,13+,0.79,1,1,0,0,0
On My Skin,2018,18+,0.79,1,0,0,0,0
Gaga: Five Foot Two,2017,18+,0.79,1,0,0,0,0
Hugo,2011,7+,0.79,1,0,0,0,0
The Impossible,2012,13+,0.79,1,0,0,0,0
War Dogs,2016,18+,0.79,1,0,0,0,0
Ip Man,2008,18+,0.79,1,0,0,0,0
Kung Fu Panda 2,2011,7+,0.79,1,0,0,0,0
The Dirt,2019,18+,0.79,1,0,0,0,0
Atlantics,2019,13+,0.79,1,0,0,0,0
El Camino: A Breaking Bad Movie,2019,18+,0.79,1,0,0,0,0
Underworld,2003,18+,0.79,1,1,1,0,0
The Ring,2002,13+,0.79,1,0,1,0,0
The Karate Kid,1984,7+,0.79,1,0,0,0,0
Quincy,2018,18+,0.79,1,0,0,0,0
The Patriot,2000,18+,0.79,1,0,0,0,0
Get In,2019,18+,0.79,1,0,0,0,0
Jerry Before Seinfeld,2017,16+,0.79,1,0,0,0,0
A Silent Voice: The Movie,2016,13+,0.78,1,0,0,0,0
Klaus,2019,7+,0.78,1,0,0,0,0
Snowden,2016,18+,0.78,1,0,0,0,0
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,18+,0.78,1,0,0,0,0
What's Eating Gilbert Grape,1993,13+,0.78,1,0,0,0,0
The Da Vinci Code,2006,13+,0.78,1,1,0,0,0
Stranger Than Fiction,2006,13+,0.78,1,0,0,0,0
Real Steel,2011,13+,0.78,1,0,0,0,0
The Founder,2017,13+,0.78,1,0,0,0,0
Stargate,1994,13+,0.78,1,0,0,0,0
Chef,2014,18+,0.78,1,0,0,0,0
Austin Powers: International Man of Mystery,1997,13+,0.78,1,0,0,0,0
Insidious,2010,13+,0.78,1,0,0,0,0
The Old Guard,2020,18+,0.78,1,0,0,0,0
Rango,2011,7+,0.78,1,0,0,0,0
Before I Wake,2016,13+,0.78,1,0,0,0,0
The Disaster Artist,2017,18+,0.78,1,0,0,0,0
Fruitvale Station,2013,18+,0.77,1,0,0,0,0
The Florida Project,2017,18+,0.77,1,0,0,0,0
Behind the Curve,2018,16+,0.77,1,0,0,0,0
Lawless,2012,18+,0.77,1,0,0,0,0
Errementari: The Blacksmith and the Devil,2018,18+,0.77,1,0,0,0,0
Quantum of Solace,2008,13+,0.77,1,0,0,0,0
The Master,2012,18+,0.77,1,0,0,0,0
Layer Cake,2004,18+,0.77,1,0,0,0,0
Flipped,2010,7+,0.77,1,0,0,0,0
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,0.77,1,0,0,0,0
Friends with Benefits,2011,18+,0.77,1,1,0,0,0
Enola Holmes,2020,13+,0.77,1,0,0,0,0
PK,2015,13+,0.77,1,0,0,0,0
Good Time,2017,18+,0.77,1,0,0,0,0
The Next Three Days,2010,13+,0.77,1,0,0,0,0
Miracle in Cell No. 7,2019,16+,0.77,1,0,0,0,0
Like Stars on Earth,2007,7+,0.77,1,0,0,0,0
I Am Sam,2001,13+,0.77,1,0,0,0,0
In the Shadow of the Moon,2019,18+,0.77,1,0,0,0,0
Neon Genesis Evangelion: The End of Evangelion,1997,18+,0.77,1,0,0,0,0
Memoirs of a Geisha,2005,13+,0.76,1,0,0,0,0
Mad Max,1979,18+,0.76,1,0,0,0,0
John Leguizamo's Latin History for Morons,2018,7+,0.76,1,0,0,0,0
And Breathe Normally,2018,16+,0.76,1,0,0,0,0
The Killing of a Sacred Deer,2017,18+,0.76,1,0,0,0,0
Angels & Demons,2009,13+,0.76,1,1,0,0,0
Bright,2017,18+,0.76,1,0,0,0,0
Yes Man,2008,13+,0.76,1,0,0,0,0
Murder Mystery,2019,13+,0.76,1,0,0,0,0
The Photographer of Mauthausen,2018,18+,0.76,1,0,0,0,0
Midnight Run,1988,18+,0.76,1,0,0,0,0
Flavors of Youth,2018,13+,0.76,1,0,0,0,0
13th,2016,18+,0.76,1,0,0,0,0
Ravenous,2017,18+,0.76,1,0,0,0,0
Austin Powers: The Spy Who Shagged Me,1999,13+,0.76,1,0,0,0,0
The Life of David Gale,2003,18+,0.76,1,0,0,0,0
The Girl Next Door,2004,18+,0.76,1,0,0,0,0
The Two Popes,2019,13+,0.76,1,0,0,0,0
The Wandering Earth,2019,13+,0.76,1,0,0,0,0
Eye for an Eye,2019,18+,0.76,1,0,0,0,0
Steve Jobs,2015,18+,0.76,1,0,0,0,0
White Fang,2018,7+,0.76,1,0,0,1,0
A Monster Calls,2016,13+,0.76,1,0,0,0,0
Olympus Has Fallen,2013,18+,0.76,1,0,0,0,0
Talladega Nights: The Ballad of Ricky Bobby,2006,13+,0.76,1,0,0,0,0
The Time Traveler's Wife,2009,13+,0.76,1,0,0,0,0
State of Play,2009,13+,0.76,1,0,0,0,0
The Outlaw Josey Wales,1976,7+,0.76,1,0,0,0,0
The Bank Job,2008,18+,0.76,1,0,0,0,0
Miss Sloane,2016,18+,0.76,1,0,0,0,0
Unknown,2011,13+,0.75,1,0,0,0,0
6 Underground,2019,18+,0.75,1,0,0,0,0
Uncorked,2020,13+,0.75,1,0,0,0,0
My Fair Lady,1964,all,0.75,1,0,0,0,0
"Bikram: Yogi, Guru, Predator",2019,18+,0.75,1,0,0,0,0
A Futile and Stupid Gesture,2018,18+,0.75,1,0,0,0,0
The Dig,2021,13+,0.75,1,0,0,0,0
Legally Blonde,2001,13+,0.75,1,0,0,0,0
Legend,2015,18+,0.75,1,0,0,0,0
When We First Met,2018,16+,0.75,1,0,0,0,0
Black Mirror: Bandersnatch,2018,18+,0.75,1,0,0,0,0
Queen,2013,13+,0.75,1,0,0,0,0
Joshua: Teenager vs. Superpower,2017,16+,0.75,1,0,0,0,0
Air Force One,1997,18+,0.75,1,0,0,0,0
Shot Caller,2017,18+,0.75,1,0,0,0,0
What Dreams May Come,1998,13+,0.75,1,0,0,0,0
Angel Has Fallen,2019,18+,0.75,1,0,0,0,0
Crimson Peak,2015,18+,0.75,1,0,0,0,0
Lemony Snicket's A Series of Unfortunate Events,2004,7+,0.75,1,0,0,0,0
The Red Sea Diving Resort,2019,18+,0.75,1,0,0,0,0
The Angel,2018,18+,0.75,1,0,0,0,0
Army of the Dead,2021,18+,0.75,1,0,0,0,0
Madagascar 3: Europe's Most Wanted,2012,7+,0.75,1,0,0,0,0
Icarus,2017,18+,0.75,1,0,0,0,0
Collateral Beauty,2016,13+,0.75,1,0,0,0,0
The Danish Girl,2015,18+,0.75,1,0,0,0,0
Green Zone,2010,18+,0.75,1,0,1,0,0
John Mulaney: New in Town,2012,18+,0.75,1,0,0,0,0
The White Tiger,2021,18+,0.75,1,0,0,0,0
Defiance,2008,18+,0.75,1,0,0,0,0
A Fortunate Man,2018,16+,0.75,1,0,0,0,0
The Death of Stalin,2017,18+,0.75,1,0,0,0,0
2012,2009,13+,0.75,1,1,0,0,0
Underworld: Awakening,2012,18+,0.74,1,1,0,0,0
Philomena,2013,13+,0.74,1,0,0,0,0
Sanju,2018,18+,0.74,1,0,0,0,0
Nappily Ever After,2018,18+,0.74,1,0,0,0,0
I Care a Lot,2021,18+,0.74,1,0,0,0,0
The Butler,2013,13+,0.74,1,0,0,0,0
A Single Man,2009,18+,0.74,1,0,0,0,0
Home,2015,7+,0.74,1,0,1,0,0
Zack and Miri Make a Porno,2008,18+,0.74,1,1,1,0,0
Seeing Allred,2018,16+,0.74,1,0,0,0,0
Dostana,2008,13+,0.74,1,0,0,0,0
Remember Me,2010,13+,0.74,1,0,0,0,0
Underworld: Rise of the Lycans,2009,18+,0.74,1,0,0,0,0
The Lovely Bones,2009,13+,0.74,1,0,0,0,0
Madagascar: Escape 2 Africa,2008,7+,0.74,1,0,0,0,0
No Strings Attached,2011,18+,0.74,1,0,1,0,0
A Ghost Story,2017,18+,0.74,1,0,0,0,0
Safety Not Guaranteed,2012,18+,0.74,1,0,0,0,0
Game Over,2019,13+,0.74,1,0,0,0,0
Peppermint,2018,18+,0.74,1,0,0,0,0
Have a Good Trip: Adventures in Psychedelics,2020,18+,0.74,1,0,0,0,0
Beasts of No Nation,2015,18+,0.74,1,0,0,0,0
Extinction,2018,18+,0.74,1,0,0,0,0
Nobody Knows I'm Here,2020,18+,0.74,1,0,0,0,0
ARQ,2016,18+,0.74,1,0,0,0,0
Ali's Wedding,2017,18+,0.74,1,0,0,0,0
Bo Burnham: Make Happy,2016,18+,0.74,1,0,0,0,0
Mank,2020,18+,0.74,1,0,0,0,0
"Extremely Wicked, Shockingly Evil and Vile",2019,18+,0.74,1,0,0,0,0
Due Date,2010,18+,0.74,1,0,0,0,0
Between Two Ferns: The Movie,2019,18+,0.74,1,0,0,0,0
Ip Man 2,2010,18+,0.74,1,0,0,0,0
Mirage,2018,18+,0.74,1,0,0,0,0
Puss in Boots,2011,7+,0.74,1,0,0,0,0
Austin Powers in Goldmember,2002,13+,0.74,1,0,0,0,0
The Kissing Booth,2018,16+,0.73,1,0,0,0,0
Hush,2016,18+,0.73,1,0,0,0,0
Lost Bullet,2020,18+,0.73,1,0,0,0,0
Dil Chahta Hai,2001,all,0.73,1,0,0,0,0
Election,1999,18+,0.73,1,0,1,0,0
Soni,2019,18+,0.73,1,0,0,0,0
Bāhubali: The Beginning,2015,13+,0.73,1,0,0,0,0
Killing Them Softly,2012,18+,0.73,1,0,0,0,0
Swordfish,2001,18+,0.73,1,0,0,0,0
Wish Dragon,2021,7+,0.73,1,0,0,0,0
Raees,2017,18+,0.73,1,0,0,0,0
Let It Snow,2019,13+,0.73,1,0,0,0,0
Hardcore Henry,2015,18+,0.73,1,0,0,0,0
Tig Notaro: Happy To Be Here,2018,16+,0.73,1,0,0,0,0
Spelling the Dream,2020,all,0.73,1,0,0,0,0
Knock Down the House,2019,7+,0.73,1,0,0,0,0
Resident Evil: Extinction,2007,18+,0.73,1,1,0,0,0
Polar,2019,18+,0.73,1,0,0,0,0
Saving Capitalism,2017,7+,0.73,1,0,0,0,0
The Mitchells vs. The Machines,2021,7+,0.73,1,0,0,0,0
Spenser Confidential,2020,18+,0.73,1,0,0,0,0
Monsters vs Aliens,2009,7+,0.73,1,0,0,0,0
Twilight,2008,13+,0.73,1,0,1,0,0
Self/less,2015,13+,0.73,1,0,0,0,0
The Highwaymen,2019,18+,0.73,1,0,0,0,0
ParaNorman,2012,7+,0.73,1,0,0,0,0
Fear Street Part Two: 1978,2021,18+,0.73,1,0,0,0,0
Pee-wee's Big Holiday,2016,7+,0.73,1,0,0,0,0
Gunpowder Milkshake,2021,18+,0.73,1,0,0,0,0
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18+,0.73,1,0,0,0,0
I Am Not Your Negro,2017,18+,0.73,1,1,0,0,0
Midnight Special,2016,13+,0.73,1,0,0,0,0
Homefront,2013,18+,0.73,1,0,0,0,0
The Squid and the Whale,2005,18+,0.73,1,0,0,0,0
Comedian,2002,18+,0.73,1,0,0,0,0
No Escape,2015,18+,0.73,1,0,0,0,0
The Garden of Words,2013,13+,0.73,1,0,0,0,0
Fractured,2019,18+,0.73,1,0,1,0,0
The Queen,2006,13+,0.73,1,0,0,0,0
The Whole Nine Yards,2000,18+,0.72,1,0,0,0,0
The Discovery,2017,18+,0.72,1,0,0,0,0
The Strangers,2008,18+,0.72,1,0,0,0,0
Penguins of Madagascar,2014,7+,0.72,1,0,0,0,0
She's Out of My League,2010,18+,0.72,1,0,1,0,0
Voyeur,2017,18+,0.72,1,0,0,0,0
It Comes at Night,2017,18+,0.72,1,0,0,0,0
The Manchurian Candidate,2004,18+,0.72,1,0,1,0,0
Hot Rod,2007,13+,0.72,1,0,1,0,0
The BFG,2016,7+,0.72,1,0,0,0,0
Sunday's Illness,2018,13+,0.72,1,0,0,0,0
The Lorax,2012,7+,0.72,1,1,0,0,0
Win It All,2017,18+,0.72,1,0,0,0,0
Mile 22,2018,18+,0.72,1,0,0,0,0
Tenacious D in The Pick of Destiny,2006,18+,0.72,1,0,0,0,0
The Sum of All Fears,2002,13+,0.72,1,0,0,0,0
G.O.R.A.,2004,13+,0.72,1,0,0,0,0
The Perfect Date,2019,16+,0.72,1,0,0,0,0
Life As We Know It,2010,13+,0.72,1,0,0,0,0
American Assassin,2017,18+,0.72,1,0,0,0,0
August: Osage County,2013,18+,0.72,1,0,0,0,0
Kuch Kuch Hota Hai,1998,all,0.72,1,0,0,0,0
Free State of Jones,2016,18+,0.72,1,0,0,0,0
Dark Skies,2013,16+,0.72,1,0,0,0,0
Safe Haven,2013,13+,0.72,1,0,0,0,0
Bāhubali 2: The Conclusion,2017,7+,0.72,1,0,0,0,0
Outlaw King,2018,18+,0.72,1,0,0,0,0
Cloudy with a Chance of Meatballs 2,2013,7+,0.72,1,0,0,0,0
Turbo,2013,7+,0.72,1,0,0,0,0
G.I. Joe: The Rise of Cobra,2009,13+,0.72,1,0,0,0,0
Horns,2013,18+,0.72,1,0,0,0,0
Drishyam,2015,18+,0.72,1,0,0,0,0
Triple Frontier,2019,18+,0.72,1,0,0,0,0
"Hail, Caesar!",2016,13+,0.72,1,0,0,0,0
The Ice Road,2021,13+,0.72,1,0,0,0,0
Monster House,2006,7+,0.72,1,0,0,0,0
Freaks,2019,18+,0.72,1,0,0,0,0
Felon,2008,18+,0.72,1,0,0,0,0
Horse Girl,2020,18+,0.72,1,0,0,0,0
A Christmas Prince,2017,7+,0.72,1,0,1,0,0
Hillbilly Elegy,2020,18+,0.72,1,0,0,0,0
American Ultra,2015,18+,0.72,1,0,0,0,0
First Match,2018,18+,0.72,1,0,0,0,0
The Pelican Brief,1993,13+,0.72,1,0,0,0,0
The Tourist,2010,13+,0.72,1,0,0,0,0
The Dawn Wall,2017,16+,0.72,1,0,0,0,0
I'm Thinking of Ending Things,2020,18+,0.71,1,0,0,0,0
Shutter,2004,18+,0.71,1,0,0,0,0
Surf's Up,2007,7+,0.71,1,0,1,0,0
The Twilight Saga: Breaking Dawn - Part 2,2012,13+,0.71,1,0,0,0,0
Jagga Jasoos,2017,7+,0.71,1,0,0,0,0
My Best Friend's Wedding,1997,13+,0.71,1,0,0,0,0
Bee Movie,2007,7+,0.71,1,0,0,0,0
Seoul Searching,2015,18+,0.71,1,0,0,0,0
Before I Fall,2017,13+,0.71,1,0,0,0,0
The Babysitter,2017,18+,0.71,1,0,0,0,0
After,2019,13+,0.71,1,0,0,0,0
"As Above, So Below",2014,18+,0.71,1,0,0,0,0
Bo Burnham: What.,2013,18+,0.71,1,0,0,0,0
Velvet Buzzsaw,2019,18+,0.71,1,0,0,0,0
Savages,2012,18+,0.71,1,0,0,0,0
Jupiter Ascending,2015,13+,0.71,1,0,0,0,0
Spectral,2016,13+,0.71,1,0,0,0,0
Resident Evil: Afterlife,2010,18+,0.71,1,1,0,0,0
Accepted,2006,13+,0.71,1,0,0,0,0
"Live Twice, Love Once",2019,18+,0.71,1,0,0,0,0
Iliza Shlesinger: Elder Millennial,2018,18+,0.71,1,0,0,0,0
Zindagi Na Milegi Dobara,2011,7+,0.71,1,0,0,0,0
Free Fire,2017,18+,0.71,1,0,0,0,0
Soorma,2018,13+,0.71,1,0,0,0,0
The Zookeeper's Wife,2017,13+,0.71,1,0,0,0,0
Time Share,2018,18+,0.71,1,0,0,0,0
The Outpost,2019,18+,0.71,1,0,0,0,0
Homecoming: A Film by Beyoncé,2019,13+,0.71,1,0,0,0,0
Jerry Seinfeld: 23 Hours to Kill,2020,7+,0.71,1,0,0,0,0
Ip Man 4: The Finale,2019,16+,0.71,1,0,0,0,0
The Laundromat,2019,18+,0.71,1,0,0,0,0
Bad Trip,2020,18+,0.71,1,0,0,0,0
Mr. Peabody & Sherman,2014,7+,0.71,1,0,0,0,0
Ip Man 3,2015,13+,0.71,1,0,0,0,0
Rang De Basanti,2006,13+,0.71,1,0,0,0,0
The Midnight Sky,2020,13+,0.71,1,0,0,0,0
Mr. Right,2016,18+,0.71,1,0,0,0,0
Synchronic,2020,18+,0.71,1,0,0,0,0
Adrift,2018,13+,0.7,1,0,0,0,0
Da 5 Bloods,2020,18+,0.7,1,0,0,0,0
The American,2010,18+,0.7,1,0,1,0,0
The Best of Enemies,2019,13+,0.7,1,0,0,0,0
Forgotten,2017,18+,0.7,1,0,1,0,0
I Don't Feel at Home in This World Anymore,2017,18+,0.7,1,0,0,0,0
Lupin the Third: The Castle of Cagliostro,1979,7+,0.7,1,0,0,0,0
Never Back Down,2008,13+,0.7,1,0,0,0,0
Fear Street: 1666,2021,18+,0.7,1,0,0,0,0
Zathura: A Space Adventure,2005,7+,0.7,1,0,0,0,0
"Faith, Hope & Love",2019,7+,0.7,1,0,0,0,0
2 States,2014,7+,0.7,1,0,0,0,0
May the Devil Take You,2018,18+,0.7,1,0,0,0,0
Double Jeopardy,1999,18+,0.7,1,0,0,0,0
Ava,2020,18+,0.7,1,0,0,0,0
Barfi!,2012,all,0.7,1,0,0,0,0
Everybody's Fine,2009,13+,0.7,1,0,0,0,0
Monty Python Live at the Hollywood Bowl,1982,18+,0.7,1,0,0,0,0
Parker,2013,18+,0.7,1,0,0,0,0
The Karate Kid Part II,1986,7+,0.7,1,0,0,0,0
Under Siege,1992,18+,0.7,1,0,0,0,0
Brain on Fire,2017,13+,0.7,1,0,0,0,0
The Butterfly's Dream,2013,13+,0.7,1,0,0,0,0
The Wrong Missy,2020,18+,0.7,1,0,0,0,0
Battle: Los Angeles,2011,13+,0.7,1,0,0,0,0
Pari,2018,13+,0.7,1,0,1,0,0
The Beguiled,2017,18+,0.7,1,0,0,0,0
Batman: The Killing Joke,2016,18+,0.7,1,0,0,0,0
Sex Drive,2008,18+,0.7,1,0,0,0,0
Pokémon the Movie: The Power of Us,2018,all,0.7,1,0,0,0,0
Underdogs,2013,7+,0.7,1,0,1,0,0
The Little Rascals,1994,7+,0.7,1,0,0,0,0
Fun with Dick and Jane,2005,13+,0.7,1,0,1,0,0
Ballerina,2016,7+,0.7,1,0,0,0,0
Hasan Minhaj: Homecoming King,2017,18+,0.7,1,0,0,0,0
An Easy Girl,2019,18+,0.7,1,0,0,0,0
Highway,2014,13+,0.7,1,0,1,0,0
The Book of Henry,2017,13+,0.7,1,0,0,0,0
The Clovehitch Killer,2018,13+,0.7,1,1,0,0,0
Stuart Little,1999,7+,0.7,1,0,0,0,0
Starsky & Hutch,2004,13+,0.7,1,0,0,0,0
Loving,2016,13+,0.7,1,0,0,0,0
Haider,2014,13+,0.7,1,0,0,0,0
The Twilight Saga: Eclipse,2010,13+,0.7,1,0,0,0,0
Triple 9,2016,18+,0.7,1,0,0,0,0
Spanglish,2004,13+,0.7,1,0,0,0,0
The Spiderwick Chronicles,2008,7+,0.7,1,0,0,0,0
Kahaani,2012,16+,0.69,1,0,0,0,0
Lady J,2018,16+,0.69,1,0,0,0,0
The Interpreter,2005,13+,0.69,1,0,0,0,0
"Frankenstein's Monster's Monster, Frankenstein",2019,16+,0.69,1,0,0,0,0
