parent_airline,airline,aircraft_type,current,future,historic,total,orders,unit_cost,total_cost_current,average_age
EVA Air,EVA Air,McDonnell Douglas MD-11,0,0,12,12,0,175,-1,-1
EVA Air,EVA Air,McDonnell Douglas MD-90,0,0,7,7,0,45,-1,-1
EVA Air,Uni Air,McDonnell Douglas MD-90,0,0,14,14,0,45,-1,-1
FedEx Express,FedEx Express,Airbus A300,68,0,3,71,0,75,5100,21.4
FedEx Express,FedEx Express,Airbus A310,8,0,62,70,0,75,600,28.6
FedEx Express,FedEx Feeder Fleet,ATR 42-300F/-320F,26,0,0,0,0,20,507,-1
FedEx Express,FedEx Express,ATR 42/72,45,0,7,52,0,22,995,25.2
FedEx Express,FedEx Feeder Fleet,ATR 72-200F,21,0,0,0,0,25,519,-1
FedEx Express,FedEx Express,Boeing 727,0,0,72,72,0,4,-1,-1
FedEx Express,FedEx Express,Boeing 737,0,0,5,5,0,74,-1,-1
FedEx Express,FedEx Express,Boeing 747,0,0,22,22,0,316,-1,-1
FedEx Express,FedEx Express,Boeing 757,119,0,4,123,0,73,8628,25
FedEx Express,FedEx Express,Boeing 767,42,19,0,61,65,187,7850,2.6
FedEx Express,FedEx Express,Boeing 777,27,16,0,43,16,295,7953,5.3
FedEx Express,FedEx Feeder Fleet,Cessna 208B Grand Caravan,241,0,0,0,0,3,610,-1
FedEx Express,FedEx Express,McDonnell Douglas DC-10,40,0,52,92,0,145,5800,39
FedEx Express,FedEx Express,McDonnell Douglas DC-8,0,0,6,6,0,6,-1,-1
FedEx Express,FedEx Express,McDonnell Douglas MD-11,59,0,12,71,0,175,10325,23.5
Finnair,Finnair,Airbus A300,0,0,2,2,0,75,-1,-1
Finnair,Finnair,Airbus A319,9,0,2,11,0,90,806,15.5
Finnair,Finnair,Airbus A320,10,0,2,12,0,98,980,14.4
Finnair,Finnair,Airbus A321,11,1,0,12,8,115,1264,10
Finnair,Finnair,Airbus A330,8,0,0,8,0,240,1920,7.2
Finnair,Finnair,Airbus A340,2,0,5,7,0,216,431,9
Finnair,Finnair,Airbus A350 XWB,7,2,0,9,12,312,2184,0.9
Finnair,Finnair,ATR 42/72,0,0,15,15,0,22,-1,-1
Finnair,Finnair,Boeing 737,0,0,2,2,0,74,-1,-1
Finnair,Finnair,Boeing 757,0,0,7,7,0,73,-1,-1
Finnair,Nordic Regional Airlines,Embraer E-190,12,0,0,12,0,46,554,7.6
Finnair,Finnair,Embraer ERJ-170,0,0,10,10,0,39,-1,-1
Finnair,Finnair,Embraer ERJ-190,12,0,0,12,0,46,554,8.5
Finnair,Finnair,McDonnell Douglas DC-10,0,0,5,5,0,145,-1,-1
Finnair,Finnair,McDonnell Douglas DC-8,0,0,4,4,0,6,-1,-1
Finnair,Finnair,McDonnell Douglas DC-9,0,0,27,27,0,45,-1,-1
Finnair,Finnair,McDonnell Douglas MD-11,0,0,7,7,0,175,-1,-1
Finnair,Finnair,McDonnell Douglas MD-80,0,0,26,26,0,45,-1,-1
Finnair,Finnair,Saab 340,0,0,3,3,0,8,-1,-1
Flybe,Flybe,ATR 42/72,9,0,0,9,2,22,199,6.6
Flybe,Flybe,Boeing 737,0,0,4,4,0,74,-1,-1
Flybe,Flybe,British Aerospace BAe 146/Avro RJ,0,0,24,24,0,14,-1,-1
Flybe,Flybe,Canadair CRJ-100 Series,0,0,4,4,0,32,-1,-1
Flybe,Flybe,De Havilland Canada DHC-6 Twin Otter,1,0,0,1,0,7,7,36.9
Flybe,Flybe,De Havilland Canada DHC-8 Dash 8,55,4,32,91,4,31,1722,9.6
Flybe,Flybe,Dornier Do-328,2,0,1,3,0,8,16,20
Flybe,Flybe,Embraer ERJ-145,0,0,28,28,0,20,-1,-1
Flybe,Flybe,Embraer ERJ-170,11,0,0,11,4,39,426,4.7
Flybe,Flybe,Embraer ERJ-190,9,0,5,14,0,46,416,8.8
Flybe,Flybe,Saab 2000,3,0,0,3,0,12,36,22.4
Flybe,Flybe,Saab 340,12,0,2,14,0,8,96,26.2
FlyDubai,FlyDubai,Boeing 737,56,1,3,60,78,74,4143,3.8
Frontier Airlines,Frontier Airlines,Airbus A318,0,0,11,11,0,66,-1,-1
Frontier Airlines,Frontier Airlines,Airbus A319,23,0,30,53,18,90,2061,11.9
Frontier Airlines,Frontier Airlines,Airbus A320,28,7,1,36,59,98,2744,5.7
Frontier Airlines,Frontier Airlines,Airbus A321,13,2,0,15,6,115,1494,0.7
Frontier Airlines,Frontier Airlines,Boeing 737,0,0,42,42,0,74,-1,-1
Frontier Airlines,Frontier Airlines,De Havilland Canada DHC-8 Dash 8,0,0,11,11,0,7,-1,-1
Garuda Indonesia,Garuda Indonesia,Airbus A300,0,0,22,22,0,75,-1,-1
Garuda Indonesia,Citilink,Airbus A320,41,5,0,46,44,98,4018,4.6
Garuda Indonesia,Garuda Indonesia,Airbus A330,24,0,30,54,14,240,5760,7.1
Garuda Indonesia,Garuda Indonesia,Airbus A340,0,0,3,3,0,216,-1,-1
Garuda Indonesia,Garuda Indonesia,ATR 42/72,15,0,0,15,15,22,332,1.9
Garuda Indonesia,Garuda Indonesia,Boeing 737,74,0,75,149,50,74,5475,5.3
Garuda Indonesia,Citilink,Boeing 737,4,0,14,18,0,74,296,19.1
Garuda Indonesia,Garuda Indonesia,Boeing 747,2,0,61,63,0,316,632,22.8
Garuda Indonesia,Garuda Indonesia,Boeing 767,0,0,19,19,0,187,-1,-1
Garuda Indonesia,Garuda Indonesia,Boeing 777,10,0,4,14,0,295,2946,2.3
Garuda Indonesia,Garuda Indonesia,Canadair CRJ-1000,18,0,0,18,0,49,882,3.2
Garuda Indonesia,Garuda Indonesia,Lockheed L-1011 TriStar,0,0,1,1,0,190,-1,-1
Garuda Indonesia,Garuda Indonesia,McDonnell Douglas DC-10,0,0,25,25,0,145,-1,-1
Garuda Indonesia,Garuda Indonesia,McDonnell Douglas DC-8,0,0,11,11,0,6,-1,-1
Garuda Indonesia,Garuda Indonesia,McDonnell Douglas DC-9,0,0,25,25,0,45,-1,-1
Garuda Indonesia,Garuda Indonesia,McDonnell Douglas MD-11,0,0,18,18,0,175,-1,-1
Gol Linhas Aéreas,Gol Linhas Aéreas,Boeing 737,124,0,67,191,134,74,9174,8.1
Grupo Aeromexico,Aeromexico Express,ATR 42/72,2,0,0,2,0,22,44,3.5
Grupo Aeromexico,Aeromexico,Boeing 737,53,0,21,74,82,74,3921,8.2
Grupo Aeromexico,Aeromexico,Boeing 757,0,0,11,11,0,73,-1,-1
Grupo Aeromexico,Aeromexico,Boeing 767,0,0,16,16,0,187,-1,-1
Grupo Aeromexico,Aeromexico,Boeing 777,4,0,0,4,0,295,1178,12.9
Grupo Aeromexico,Aeromexico,Boeing 787 Dreamliner,12,2,0,14,3,265,3181,1.9
Grupo Aeromexico,Aeromexico Connect,Embraer ERJ-145,19,0,21,40,0,20,372,15
Grupo Aeromexico,Aeromexico Connect,Embraer ERJ-170,14,0,2,16,2,39,542,11.5
Grupo Aeromexico,Aeromexico Connect,Embraer ERJ-190,36,0,0,36,1,46,1663,6.3
Grupo Aeromexico,Aeromexico,McDonnell Douglas DC-10,0,0,6,6,0,145,-1,-1
Grupo Aeromexico,Aeromexico,McDonnell Douglas DC-8,0,0,13,13,0,6,-1,-1
Grupo Aeromexico,Aeromexico,McDonnell Douglas DC-9,0,0,34,34,0,45,-1,-1
Grupo Aeromexico,Aeromexico,McDonnell Douglas MD-80,0,0,53,53,0,45,-1,-1
Gulf Air,Gulf Air,Airbus A319,0,0,2,2,0,90,-1,-1
Gulf Air,Gulf Air,Airbus A320,16,0,18,34,12,98,1568,6.2
Gulf Air,Gulf Air,Airbus A321,6,0,2,8,17,115,689,4.4
Gulf Air,Gulf Air,Airbus A330,6,0,6,12,0,240,1440,17.2
Gulf Air,Gulf Air,Airbus A340,0,0,10,10,0,216,-1,-1
Gulf Air,Gulf Air,Boeing 737,0,0,14,14,0,74,-1,-1
Gulf Air,Gulf Air,Boeing 747,0,0,2,2,0,316,-1,-1
Gulf Air,Gulf Air,Boeing 757,0,0,1,1,0,73,-1,-1
Gulf Air,Gulf Air,Boeing 767,0,0,22,22,0,187,-1,-1
Gulf Air,Gulf Air,Boeing 777,0,0,4,4,0,295,-1,-1
Gulf Air,Gulf Air,Boeing 787,0,0,0,0,16,265,-1,-1
Gulf Air,Gulf Air,Bombardier CS100,0,0,0,0,10,72,-1,-1
Gulf Air,Gulf Air,Embraer ERJ-170,0,0,2,2,0,39,-1,-1
Gulf Air,Gulf Air,Embraer ERJ-190,0,0,2,2,0,46,-1,-1
Hainan Airlines,Lucky Air (86.68%),Airbus A319,3,0,0,3,0,90,269,11
Hainan Airlines,Capital Airlines (70%),Airbus A319,19,0,10,29,0,90,1702,8.6
Hainan Airlines,Hainan Airlines,Airbus A319,0,0,6,6,0,90,-1,-1
Hainan Airlines,Lucky Air (86.68%),Airbus A320,7,1,0,8,0,98,686,4
Hainan Airlines,Capital Airlines (70%),Airbus A320,34,0,0,34,0,98,3332,3.8
Hainan Airlines,Capital Airlines (70%),Airbus A321,11,0,0,11,0,115,1264,0.8
Hainan Airlines,Hainan Airlines,Airbus A330,22,0,6,28,1,240,5280,4.2
Hainan Airlines,Capital Airlines (70%),Airbus A330,4,4,0,8,3,240,960,7.5
Hainan Airlines,Hainan Airlines,Airbus A340,0,0,3,3,0,216,-1,-1
Hainan Airlines,Hainan Airlines,Boeing 737,126,2,45,173,4,74,9321,5.5
Hainan Airlines,China Xinhua Airlines (100%),Boeing 737,5,0,12,17,0,74,370,12.1
Hainan Airlines,Lucky Air (86.68%),Boeing 737,26,2,6,34,0,74,1923,5.3
Hainan Airlines,Urumqi Airlines (70%),Boeing 737,9,0,0,9,0,74,666,5.6
Hainan Airlines,Chang An Airlines (67.01%),Boeing 737-800,3,0,0,0,0,96,288,-1
Hainan Airlines,Hainan Airlines,Boeing 767,3,0,2,5,0,187,561,14.1
Hainan Airlines,Hainan Airlines,Boeing 787 Dreamliner,18,3,0,21,8,265,4772,1.8
Hainan Airlines,Hainan Airlines,COMAC C919,0,0,0,0,20,68,-1,-1
Hainan Airlines,Hainan Airlines,Dornier Do-328,0,0,27,27,0,8,-1,-1
Hainan Airlines,Capital Airlines (70%),Gulfstream Aerospace G-V Gulfstream,1,0,0,1,0,,-1,-1
Hainan Airlines,Capital Airlines (70%),Gulfstream Aerospace G500/G550,2,0,0,2,0,,-1,-1
Hainan Airlines,Capital Airlines (70%),Hawker Beechcraft Hawker 4000,1,0,0,1,0,,-1,-1
Hawaiian Airlines,Hawaiian Airlines,Airbus A321,0,0,0,0,18,115,-1,-1
Hawaiian Airlines,Hawaiian Airlines,Airbus A330,23,0,0,23,7,240,5520,3.7
Hawaiian Airlines,Hawaiian Airlines,ATR 42/72,3,0,0,0,0,22,66,-1
Hawaiian Airlines,Hawaiian Airlines,Boeing 717,18,2,1,21,2,37,666,15.3
Hawaiian Airlines,Hawaiian Airlines,Boeing 767,8,0,10,18,0,187,1495,17.8
Hawaiian Airlines,Hawaiian Airlines,McDonnell Douglas DC-10,0,0,25,25,0,145,-1,-1
Hawaiian Airlines,Hawaiian Airlines,McDonnell Douglas DC-8,0,0,11,11,0,6,-1,-1
Hawaiian Airlines,Hawaiian Airlines,McDonnell Douglas DC-9,0,0,38,38,0,45,-1,-1
Hawaiian Airlines,Hawaiian Airlines,McDonnell Douglas MD-80,0,0,6,6,0,45,-1,-1
IAG,British Airways,Aérospatiale/BAC Concorde,0,0,7,7,0,29,-1,-1
IAG,Iberia,Airbus A300,0,0,9,9,0,75,-1,-1
IAG,British Airways,Airbus A318,2,0,0,2,0,66,133,7.3
IAG,British Airways,Airbus A319,44,0,0,44,0,90,3942,15
IAG,Iberia,Airbus A319,16,0,11,27,0,90,1434,11.4
IAG,Vueling,Airbus A319,5,0,5,10,3,90,448,9.6
IAG,Aer Lingus,Airbus A319,0,0,4,4,0,90,-1,-1
IAG,British Airways,Airbus A320,67,0,11,78,25,98,6566,10.5
IAG,Iberia,Airbus A320,14,1,60,75,24,98,1372,10
IAG,Iberia Express,Airbus A320,18,0,12,30,0,98,1764,13
IAG,Aer Lingus,Airbus A320,34,0,6,40,0,98,3332,10.9
IAG,Vueling,Airbus A320,93,1,40,134,32,98,9114,7.2
IAG,British Airways,Airbus A321,18,0,0,18,10,115,2068,11.2
IAG,Iberia,Airbus A321,14,0,5,19,3,115,1609,13.3
IAG,Iberia Express,Airbus A321,3,0,0,3,1,115,345,11.7
IAG,Aer Lingus,Airbus A321,3,0,3,6,0,115,345,17.6
IAG,Vueling,Airbus A321,10,1,0,11,0,115,1149,1
IAG,Iberia,Airbus A330,17,3,0,20,3,240,4080,1.9
IAG,Aer Lingus,Airbus A330,10,0,5,15,2,240,2400,9.2
IAG,Iberia,Airbus A340,17,0,22,39,0,216,3664,10.7
IAG,British Airways,Airbus A350,0,0,0,0,18,312,-1,-1
IAG,Iberia,Airbus A350,0,0,0,0,16,312,-1,-1
IAG,Aer Lingus,Airbus A350 XWB,0,1,0,1,9,312,-1,-1
IAG,British Airways,Airbus A380,12,0,0,12,0,433,5191,2.7
IAG,Air Nostrum/Iberia Regional,ATR 42/72,5,0,14,19,0,22,111,4.5
IAG,Aer Lingus Regional,ATR 42/72,11,0,12,23,0,22,243,4.8
IAG,British Airways,Boeing 737,0,0,123,123,0,74,-1,-1
IAG,Iberia,Boeing 737,0,0,10,10,0,74,-1,-1
IAG,Aer Lingus,Boeing 737,0,0,38,38,0,74,-1,-1
IAG,Iberia,Boeing 747,0,0,21,21,0,316,-1,-1
IAG,British Airways,Boeing 747,37,0,64,101,0,316,11685,20.4
IAG,Aer Lingus,Boeing 747,0,0,4,4,0,316,-1,-1
IAG,British Airways,Boeing 757,0,0,56,56,0,73,-1,-1
IAG,Iberia,Boeing 757,0,0,30,30,0,73,-1,-1
IAG,OpenSkies,Boeing 757,3,0,1,4,0,73,218,24.5
IAG,Aer Lingus,Boeing 757,4,0,0,4,0,73,290,20.1
IAG,Iberia,Boeing 767,0,0,2,2,0,187,-1,-1
IAG,British Airways,Boeing 767,7,0,24,31,0,187,1308,21.9
IAG,OpenSkies,Boeing 767,1,0,0,1,0,187,187,26.1
IAG,Aer Lingus,Boeing 767,0,0,3,3,0,187,-1,-1
IAG,British Airways,Boeing 777,58,0,3,61,0,295,17084,14.4
IAG,British Airways,Boeing 787 Dreamliner,23,1,0,24,20,265,6097,1.6
IAG,British Airways,British Aerospace BAe 146/Avro RJ,0,0,4,4,0,14,-1,-1
IAG,BA CityFlyer,British Aerospace BAe 146/Avro RJ,0,0,12,12,0,14,-1,-1
IAG,Air Nostrum/Iberia Regional,British Aerospace BAe 146/Avro RJ,0,0,3,3,0,14,-1,-1
IAG,Aer Lingus,British Aerospace BAe 146/Avro RJ,0,0,12,12,0,14,-1,-1
IAG,British Airways,British Aerospace BAe ATP,0,0,16,16,0,14,-1,-1
IAG,Air Nostrum/Iberia Regional,Canadair CRJ-100 Series,11,0,26,37,0,32,350,15.9
IAG,Air Nostrum/Iberia Regional,Canadair CRJ-1000,16,2,0,18,21,49,784,3.7
IAG,Air Nostrum/Iberia Regional,Canadair CRJ-900,13,0,0,13,0,46,598,10.3
IAG,British Airways,De Havilland Canada DHC-6 Twin Otter,0,0,1,1,0,7,-1,-1
IAG,British Airways,De Havilland Canada DHC-8 Dash 8,0,0,2,2,0,7,-1,-1
IAG,Air Nostrum/Iberia Regional,De Havilland Canada DHC-8 Dash 8,0,0,19,19,0,7,-1,-1
IAG,BA CityFlyer,Embraer ERJ-170,6,0,0,6,0,39,232,7.1
IAG,BA CityFlyer,Embraer ERJ-190,14,0,0,14,0,46,647,5.8
IAG,Air Nostrum/Iberia Regional,Fokker F50 / F60,0,0,37,37,0,18,-1,-1
IAG,Aer Lingus,Fokker F50 / F60,0,0,8,8,0,18,-1,-1
IAG,British Airways,Fokker F70 / F100,0,0,6,6,0,20,-1,-1
IAG,British Airways,Lockheed L-1011 TriStar,0,0,6,6,0,190,-1,-1
IAG,British Airways,McDonnell Douglas DC-10,0,0,8,8,0,145,-1,-1
IAG,Iberia,McDonnell Douglas DC-10,0,0,13,13,0,145,-1,-1
IAG,Iberia,McDonnell Douglas DC-8,0,0,17,17,0,6,-1,-1
IAG,Aer Lingus,McDonnell Douglas DC-8,0,0,2,2,0,6,-1,-1
IAG,Iberia,McDonnell Douglas DC-9,0,0,50,50,0,45,-1,-1
IAG,Aer Lingus,McDonnell Douglas MD-11,0,0,1,1,0,175,-1,-1
IAG,Iberia,McDonnell Douglas MD-80,0,0,39,39,0,45,-1,-1
IAG,BA CityFlyer,Saab 2000,2,0,1,3,0,12,24,22.1
IAG,British Airways,Saab 340,0,0,11,11,0,8,-1,-1
Iceland Air Group,Iceland Air Group,Boeing 737,0,0,8,8,16,74,-1,-1
Iceland Air Group,Iceland Air Group,Boeing 747,0,0,1,1,0,316,-1,-1
Iceland Air Group,Iceland Air Group,Boeing 757,28,0,13,41,0,73,2030,21.5
Iceland Air Group,Iceland Air Group,Boeing 767,4,0,5,9,0,187,748,18
Iceland Air Group,Iceland Air Group,Boeing 787,0,0,0,0,1,265,-1,-1
Iceland Air Group,Iceland Air Group,McDonnell Douglas DC-8,0,0,17,17,0,6,-1,-1
IndiGo,IndiGo,Airbus A320,124,10,16,150,400,98,12152,5.2
IndiGo,IndiGo,Airbus A321,0,0,0,0,20,115,-1,-1
Interjet,Interjet,Airbus A320,45,1,4,50,40,98,4410,8.5
Interjet,Interjet,Airbus A321,3,0,0,3,10,115,345,0.2
Interjet,Interjet,Sukhoi Superjet 100,22,3,0,25,8,28,605,2.8
Japan Airlines,Japan Airlines,Airbus A300,0,0,22,22,0,75,-1,-1
Japan Airlines,Japan Airlines,Airbus A350,0,0,0,0,31,312,-1,-1
Japan Airlines,Japan Air Commuter (60% owned),ATR 42-600,0,0,0,0,8,20,-1,-1
Japan Airlines,Japan Airlines,Boeing 737,50,0,7,57,0,74,3699,6.9
Japan Airlines,Japan Transocean Air (72.8%),Boeing 737,13,1,22,36,10,74,962,16.6
Japan Airlines,Japan Airlines,Boeing 747,0,0,114,114,0,316,-1,-1
Japan Airlines,Japan Transocean Air (72.8%),Boeing 767,0,0,2,2,0,187,-1,-1
Japan Airlines,Japan Airlines,Boeing 767,39,0,21,60,0,187,7289,11.5
Japan Airlines,Japan Airlines,Boeing 777,40,0,6,46,0,295,11782,13.4
Japan Airlines,Japan Airlines,Boeing 787 Dreamliner,31,6,0,37,14,265,8218,2.6
Japan Airlines,J-Air,Canadair CRJ-200 Series,8,0,2,9,0,32,255,12.9
Japan Airlines,Japan Air Commuter (60% owned),De Havilland Canada DHC-8 Dash 8,10,0,2,11,0,31,313,12
Japan Airlines,J-Air,Embraer ERJ-170,17,0,0,17,3,39,658,5.3
Japan Airlines,J-Air,Embraer ERJ-190,3,1,0,5,17,46,139,0.4
Japan Airlines,Japan Airlines,McDonnell Douglas DC-10,0,0,20,20,0,145,-1,-1
Japan Airlines,Japan Airlines,McDonnell Douglas DC-8,0,0,58,58,0,6,-1,-1
Japan Airlines,Japan Airlines,McDonnell Douglas MD-11,0,0,10,10,0,175,-1,-1
Japan Airlines,Japan Airlines,McDonnell Douglas MD-80,0,0,19,19,0,45,-1,-1
Japan Airlines,Japan Airlines,McDonnell Douglas MD-90,0,0,16,16,0,45,-1,-1
Japan Airlines,Japan Airlines,Mitsubishi MRJ90,0,0,0,0,35,47,-1,-1
Japan Airlines,J-Air,Mitsubishi MRJ90,0,0,0,0,35,47,-1,-1
Japan Airlines,Japan Air Commuter (60% owned),Saab 340,9,0,2,11,0,8,72,21.3
Japan Airlines,Hokkaido Air System (57.3%),Saab 340,3,0,0,3,2,8,24,18.3
Jazz Airlines,Jazz Airlines,Bombardier Q400 Nextgen,39,0,8,8,10,31,1221,-1
Jazz Airlines,Jazz Airlines,Canadair CRJ-200,14,0,44,58,0,32,446,13.4
Jazz Airlines,Jazz Airlines,Canadair CRJ-705,16,5,0,21,0,41,656,11.4
Jazz Airlines,Jazz Airlines,Canadair CRJ-900,0,0,0,0,5,46,-1,-1
Jazz Airlines,Jazz Airlines,De Havilland Canada DHC-8 Dash 8,47,0,22,108,0,31,1471,16.6
Jet Airways,Jet Airways,Airbus A320,0,0,1,1,0,98,-1,-1
Jet Airways,Jet Airways,Airbus A330,11,0,5,16,0,240,2640,7
Jet Airways,Jet Airways,Airbus A340,0,0,3,3,0,216,-1,-1
Jet Airways,Jet Airways,ATR 42/72,13,0,8,21,0,22,287,7.4
Jet Airways,Jet Airways,Boeing 737,70,0,53,123,75,74,5179,7.4
Jet Airways,Jet Airways,Boeing 777,9,0,1,10,0,295,2651,9.3
Jet Airways,Jet Airways,Boeing 787,0,0,0,0,10,265,-1,-1
Jet2,Jet2,Airbus A320,0,0,2,2,0,98,-1,-1
Jet2,Jet2,Airbus A321,0,0,1,1,0,115,-1,-1
Jet2,Jet2,Boeing 737,50,4,17,71,25,74,3699,18.8
Jet2,Jet2,Boeing 757,11,0,5,16,0,73,798,26.8
Jet2,Jet2,British Aerospace BAe 146/Avro RJ,0,0,1,1,0,14,-1,-1
JetBlue,JetBlue Airways,Airbus A320,130,0,12,142,25,98,12740,11.3
JetBlue,JetBlue Airways,Airbus A321,35,4,0,39,87,115,4022,1.6
JetBlue,JetBlue Airways,Embraer ERJ-190,60,0,4,64,24,46,2772,8.2
Juneyao Airlines,Juneyao Airlines,Airbus A319,0,0,2,2,0,90,-1,-1
Juneyao Airlines,Juneyao Airlines,Airbus A320,41,0,0,41,0,98,4018,5.2
Juneyao Airlines,Juneyao Airlines,Airbus A321,18,2,0,20,1,115,2068,1.4
Kenya Airways,Kenya Airways,Airbus A310,0,0,6,6,0,75,-1,-1
Kenya Airways,Kenya Airways,Boeing 737,12,0,16,28,0,74,888,8.1
Kenya Airways,Jambojet Limited,Boeing 737,2,0,1,3,0,74,148,19.7
Kenya Airways,Kenya Airways,Boeing 757,0,0,1,1,0,73,-1,-1
Kenya Airways,Kenya Airways,Boeing 767,0,0,12,12,0,187,-1,-1
Kenya Airways,Kenya Airways,Boeing 777,0,0,7,7,0,295,-1,-1
Kenya Airways,Kenya Airways,Boeing 787 Dreamliner,7,0,2,9,0,265,1856,2.4
Kenya Airways,Jambojet Limited,De Havilland Canada DHC-8 Dash 8,1,0,0,1,0,31,31,14.8
Kenya Airways,Kenya Airways,Embraer ERJ-170,0,0,5,5,0,39,-1,-1
Kenya Airways,Kenya Airways,Embraer ERJ-190,15,0,0,15,0,46,693,4.4
Kenya Airways,Kenya Airways,Fokker F50 / F60,0,0,3,3,0,18,-1,-1
Kenya Airways,Kenya Airways,McDonnell Douglas DC-8,0,0,2,2,0,6,-1,-1
Kenya Airways,Kenya Airways,McDonnell Douglas DC-9,0,0,2,2,0,45,-1,-1
Korean Air,Korean Air,Airbus A300,0,0,40,40,0,75,-1,-1
Korean Air,Korean Air,Airbus A321neo,0,0,0,0,30,126,-1,-1
Korean Air,Korean Air,Airbus A330,29,0,1,30,11,240,6960,12
Korean Air,Korean Air,Airbus A380,10,0,0,10,0,433,4326,4.7
Korean Air,Korean Air,Boeing 727,0,0,1,1,0,4,-1,-1
Korean Air,Korean Air,Boeing 737,40,0,11,51,51,74,2959,9.6
Korean Air,Jin Air,Boeing 737,18,0,0,18,0,74,1332,11.2
Korean Air,Korean Air,Boeing 747,34,4,50,88,7,316,10737,10.8
Korean Air,Korean Air,Boeing 777,48,1,4,53,14,295,14138,7.5
Korean Air,Jin Air,Boeing 777,4,0,0,4,0,295,1178,10.7
Korean Air,Korean Air,Boeing 787 Dreamliner,0,3,0,3,10,265,-1,-1
Korean Air,Korean Air,Bombardier BD-500 CSeries,0,1,0,1,0,82,-1,-1
Korean Air,Korean Air,Bombardier CS300,0,0,0,0,10,72,-1,-1
Korean Air,Korean Air,Eurocopter EC135,5,0,0,5,0,,-1,5.9
Korean Air,Korean Air,Fokker F70 / F100,0,0,12,12,0,20,-1,-1
Korean Air,Korean Air,McDonnell Douglas DC-10,0,0,6,6,0,145,-1,-1
Korean Air,Korean Air,McDonnell Douglas DC-8,0,0,6,6,0,6,-1,-1
Korean Air,Korean Air,McDonnell Douglas DC-9,0,0,2,2,0,45,-1,-1
Korean Air,Korean Air,McDonnell Douglas MD-11,0,0,5,5,0,175,-1,-1
Korean Air,Korean Air,McDonnell Douglas MD-80,0,0,16,16,0,45,-1,-1
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A319,23,0,2,25,0,90,2061,9.1
LATAM Airlines Chile,LATAM Airlines Chile,Airbus A319,17,0,0,17,0,90,1523,9.7
LATAM Airlines Chile,LATAM Airlines Ecuador,Airbus A319,6,0,0,6,0,90,538,7
LATAM Airlines Chile,LATAM Airlines Peru,Airbus A319,8,0,0,2,0,90,717,11.2
LATAM Airlines Chile,LATAM Airlines Argentina,Airbus A320,14,0,0,14,0,98,1372,14.6
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A320,73,1,7,81,33,98,7154,10
LATAM Airlines Chile,LATAM Airlines Chile,Airbus A320,56,0,3,59,20,98,5488,4.8
LATAM Airlines Chile,LATAM Airlines Peru,Airbus A320-200,14,0,0,0,0,98,1372,-1
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A321,31,0,0,31,20,115,3562,3.4
LATAM Airlines Chile,LATAM Airlines Chile,Airbus A321,16,0,0,16,1,115,1838,1
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A350 XWB,6,2,0,8,24,312,1872,0.5
LATAM Airlines Chile,LATAM Airlines Argentina,Boeing 767,3,0,0,3,0,187,561,10.3
LATAM Airlines Chile,LATAM Airlines Brazil,Boeing 767,14,0,0,14,6,187,2617,6.2
LATAM Airlines Chile,LATAM Airlines Chile,Boeing 767,20,0,2,22,0,187,3738,9.8
LATAM Airlines Chile,LATAM Airlines Ecuador,Boeing 767,3,0,0,0,0,187,561,-1
LATAM Airlines Chile,LATAM Cargo Brazil,Boeing 767,3,0,0,3,0,187,561,12.6
LATAM Airlines Chile,LATAM Cargo Chile,Boeing 767,3,0,0,3,0,187,561,12.3
LATAM Airlines Chile,LATAM Airlines Brazil,Boeing 777,10,0,0,10,0,295,2946,5.7
LATAM Airlines Chile,LATAM Cargo Chile,Boeing 777,2,0,0,2,0,295,589,7.6
LATAM Airlines Chile,LATAM Airlines Peru,Boeing 787,3,0,0,0,0,265,795,-1
LATAM Airlines Chile,LATAM Airlines Chile,Boeing 787 Dreamliner,22,1,0,23,10,265,5832,2
Lion Air,Lion Air,Airbus A310,0,0,1,1,0,75,-1,-1
Lion Air,Batik Air,Airbus A320,27,1,0,28,0,98,2646,1.1
Lion Air,Lion Air,Airbus A320,0,0,0,0,221,98,-1,-1
Lion Air,Lion Air,Airbus A330,3,0,0,3,0,240,720,1.1
Lion Air,Malindo Air,Airbus A330,0,0,0,0,1,240,-1,-1
Lion Air,Malindo Air,ATR 42/72,16,0,0,16,0,22,354,2.1
Lion Air,Wings Air,ATR 42/72,51,3,0,54,10,22,1127,3.6
Lion Air,Thai Lion Air,ATR 42/72,0,0,1,1,0,22,-1,-1
Lion Air,Lion Air,Boeing 737,108,4,19,131,204,74,7990,5.3
Lion Air,Batik Air,Boeing 737,14,0,6,20,0,74,1036,2.6
Lion Air,Malindo Air,Boeing 737,25,1,1,27,0,74,1850,2
Lion Air,Thai Lion Air,Boeing 737,24,0,0,24,8,74,1776,1.6
Lion Air,Lion Air,Boeing 747,2,0,0,2,0,316,632,27.3
Lion Air,Wings Air,De Havilland Canada DHC-8 Dash 8,0,0,3,3,0,7,-1,-1
Lion Air,Lion Air,McDonnell Douglas MD-80,0,0,20,20,0,45,-1,-1
Lion Air,Wings Air,McDonnell Douglas MD-80,0,0,16,16,0,45,-1,-1
