Season,Episode,Rating,Name,Spoken
4,10,7.6,Britta,135
4,11,8.1,Britta,408
4,12,8.2,Britta,221
4,13,7.8,Britta,232
5,1,8.1,Britta,208
5,2,8.6,Britta,83
5,3,9.0,Britta,80
5,4,9.2,Britta,240
5,5,9.4,Britta,562
5,6,8.2,Britta,156
5,7,7.9,Britta,332
5,8,9.0,Britta,391
5,9,8.1,Britta,149
5,10,8.5,Britta,129
5,11,8.0,Britta,185
5,12,7.9,Britta,162
5,13,8.3,Britta,98
6,1,7.9,Britta,345
6,2,7.7,Britta,691
6,3,7.9,Britta,146
6,4,8.2,Britta,107
6,5,7.9,Britta,468
6,6,7.8,Britta,717
6,7,7.5,Britta,788
6,8,8.0,Britta,185
6,9,7.8,Britta,413
6,10,7.7,Britta,162
6,11,9.1,Britta,164
6,12,8.6,Britta,383
6,13,9.6,Britta,334
1,1,7.8,Abed,431
1,2,7.9,Abed,192
1,3,8.3,Abed,310
1,4,8.2,Abed,135
1,5,7.9,Abed,271
1,6,7.8,Abed,82
1,7,8.8,Abed,264
1,8,8.1,Abed,328
1,9,8.9,Abed,193
1,10,8.3,Abed,244
1,11,7.9,Abed,141
1,12,8.5,Abed,208
1,13,8.1,Abed,288
1,14,8.0,Abed,111
1,15,8.2,Abed,200
1,16,8.5,Abed,527
1,17,9.0,Abed,452
1,18,8.1,Abed,278
1,19,8.5,Abed,173
1,20,8.5,Abed,290
1,21,9.3,Abed,1089
1,22,8.1,Abed,338
1,23,9.8,Abed,180
1,24,8.2,Abed,229
1,25,8.5,Abed,120
2,1,8.7,Abed,366
2,2,8.3,Abed,230
2,3,8.1,Abed,49
2,4,8.7,Abed,282
2,5,7.8,Abed,694
2,6,9.3,Abed,264
2,7,8.5,Abed,584
2,8,9.1,Abed,443
2,9,9.4,Abed,140
2,10,8.5,Abed,287
2,11,8.8,Abed,1050
2,12,8.1,Abed,171
2,13,8.0,Abed,133
2,14,9.5,Abed,1009
2,15,8.2,Abed,214
2,16,8.8,Abed,200
2,17,8.3,Abed,421
2,18,7.5,Abed,329
2,19,9.0,Abed,1153
2,20,7.6,Abed,245
2,21,9.1,Abed,203
2,22,8.0,Abed,313
2,23,9.7,Abed,168
2,24,9.6,Abed,292
3,1,8.1,Abed,116
3,2,8.2,Abed,94
3,3,8.1,Abed,213
3,4,9.8,Abed,673
3,5,8.8,Abed,430
3,6,7.8,Abed,186
3,7,8.6,Abed,357
3,8,9.0,Abed,269
3,9,8.5,Abed,386
3,10,8.7,Abed,588
3,11,7.8,Abed,300
3,12,8.1,Abed,300
3,13,8.2,Abed,246
3,14,9.3,Abed,278
3,15,8.2,Abed,231
3,16,8.7,Abed,795
3,17,9.4,Abed,350
3,18,8.3,Abed,176
3,19,9.2,Abed,346
3,20,9.5,Abed,430
3,21,9.1,Abed,160
3,22,8.9,Abed,438
4,1,7.4,Abed,343
4,2,7.6,Abed,166
4,3,7.4,Abed,589
4,4,7.2,Abed,261
4,5,7.5,Abed,470
4,6,7.6,Abed,292
4,7,6.8,Abed,67
4,8,8.0,Abed,849
4,9,7.0,Abed,271
4,10,7.6,Abed,224
4,11,8.1,Abed,370
4,12,8.2,Abed,767
4,13,7.8,Abed,631
5,1,8.1,Abed,303
5,2,8.6,Abed,392
5,3,9.0,Abed,41
5,4,9.2,Abed,383
5,5,9.4,Abed,446
5,6,8.2,Abed,220
5,7,7.9,Abed,665
5,8,9.0,Abed,136
5,9,8.1,Abed,661
5,10,8.5,Abed,1009
5,11,8.0,Abed,511
